"CANE, MIGUEL",,,,,
CANGALLO,,,,,
CANGAYE,,,,,
CANONERA AMERICA,,,,,
CANTILO,,,,,
"CANTILO, Int.",,,,,
"CANTILO, JOSE LUIS",,,,,
CAÑUELAS,,,,,
CAPDEVILA,,,,,
"CAPDEVILA, ARTURO",,,,,
CAPERUCITA,,,,,
CARABELAS,,,,,
CARABOBO,,,,,
CARACAS,,,,,
CARANDAY,,,,,
CARAPACHAY,,,,,
CARBAJAL,,,,,
"CARBALLIDO, JOSE E.",,,,,
"CARBONARI, FRANCISCO, Cmte.",,,,,
"CARCANO, RAMON J.",,,,,
"CARCOVA, DE LA",,,,,
"CARDENAS, CNEL.",,,,,
CARDOSO,,,,,
CARHUE,,,,,
CARICANCHA,,,,,
CAROYA,,,,,
"CARRANZA, ADOLFO P.",,,,,
"CARRANZA, ANGEL JUSTINIANO",,,,,
"CARRANZA, CARLOS",,,,,
CARRASCO,,,,,
"CARRERAS, SANTIAGO de las",,,,,
"CARRERAS, SEGUNDO IÑIGO",,,,,
"CARRIEGO, EVARISTO",,,,,
"CARRIL, SALVADOR MARIA DEL",,,,,
"CARRILLO, RAMON, DR.",,,,,
CASACUBERTA,,,,,
CASAFOUST,,,,,
CASARES,,,,,
CASCO,,,,,
"CASCO, HORACIO, Dr.",,,,,
CASEROS,,,,,
CASTAÑARES,,,,,
CASTAÑEDA,,,,,
CASTANON,,,,,
"CASTELAR, EMILIO",,,,,
"CASTELLANOS, JOAQUIN",,,,,
CASTELLI,,,,,
CASTEX,,,,,
"CASTILLA, RAMON, MARISCAL",,,,,
CASTILLO,,,,,
"CASTILLO, CATULO",,,,,
"CASTILLO, JUAN del",,,,,
"CASTILLO, RAMON S., PRES.",,,,,
CASTRO,,,,,
"CASTRO, BARROS",,,,,
"CASTRO, EMILIO",,,,,
"CASTRO, JUAN de",,,,,
"CASTRO, ROSALIA DE",,,,,
CATAMARCA,,,,,
CATANIA,,,,,
CATRIEL,,,,,
CAVIA,,,,,
CAYASTA,,,,,
CAZADORES,,,,,
